date,isin,issue date,maturity date,coupon,historical close price,,,
2021-01-18,CA135087A610,2012-07-30,2023-06-01,0.015,103.13,,,
2021-01-19,CA135087A610,2012-07-30,2023-06-01,0.015,103.14,,,
2021-01-20,CA135087A610,2012-07-30,2023-06-01,0.015,103.1,,,
2021-01-21,CA135087A610,2012-07-30,2023-06-01,0.015,103.09,,,
2021-01-22,CA135087A610,2012-07-30,2023-06-01,0.015,103.09,,,
2021-01-25,CA135087A610,2012-07-30,2023-06-01,0.015,103.04,,,
2021-01-26,CA135087A610,2012-07-30,2023-06-01,0.015,103.06,,,
2021-01-27,CA135087A610,2012-07-30,2023-06-01,0.015,103.1,,,
2021-01-28,CA135087A610,2012-07-30,2023-06-01,0.015,103.08,,,
2021-01-29,CA135087A610,2012-07-30,2023-06-01,0.015,103.06,,,
2021-01-18,CA135087K296,2019-05-06,2021-08-01,0.015,100.76,,,
2021-01-19,CA135087K296,2019-05-06,2021-08-01,0.015,100.75,,,
2021-01-20,CA135087K296,2019-05-06,2021-08-01,0.015,100.73,,,
2021-01-21,CA135087K296,2019-05-06,2021-08-01,0.015,100.72,,,
2021-01-22,CA135087K296,2019-05-06,2021-08-01,0.015,100.72,,,
2021-01-25,CA135087K296,2019-05-06,2021-08-01,0.015,100.71,,,
2021-01-26,CA135087K296,2019-05-06,2021-08-01,0.015,100.71,,,
2021-01-27,CA135087K296,2019-05-06,2021-08-01,0.015,100.71,,,
2021-01-28,CA135087K296,2019-05-06,2021-08-01,0.015,100.7,,,
2021-01-29,CA135087K296,2019-05-06,2021-08-01,0.015,100.7,,,
2021-01-18,CA135087K601,2019-11-04,2022-02-01,0.015,101.44,,,
2021-01-19,CA135087K601,2019-11-04,2022-02-01,0.015,101.44,,,
2021-01-20,CA135087K601,2019-11-04,2022-02-01,0.015,101.41,,,
2021-01-21,CA135087K601,2019-11-04,2022-02-01,0.015,101.4,,,
2021-01-22,CA135087K601,2019-11-04,2022-02-01,0.015,101.4,,,
2021-01-25,CA135087K601,2019-11-04,2022-02-01,0.015,101.38,,,
2021-01-26,CA135087K601,2019-11-04,2022-02-01,0.015,101.38,,,
2021-01-27,CA135087K601,2019-11-04,2022-02-01,0.015,101.39,,,
2021-01-28,CA135087K601,2019-11-04,2022-02-01,0.015,101.38,,,
2021-01-29,CA135087K601,2019-11-04,2022-02-01,0.015,101.38,,,
2021-01-18,CA135087K866,2020-01-27,2022-05-01,0.015,101.78,,,
2021-01-19,CA135087K866,2020-01-27,2022-05-01,0.015,101.77,,,
