date,isin,issue date,maturity date,coupon,historical close price
2021-01-18,CA135087K866,2020-01-27,2022-05-01,0.015,101.78
2021-01-19,CA135087K866,2020-01-27,2022-05-01,0.015,101.77
2021-01-20,CA135087K866,2020-01-27,2022-05-01,0.015,101.74
2021-01-21,CA135087K866,2020-01-27,2022-05-01,0.015,101.73
2021-01-22,CA135087K866,2020-01-27,2022-05-01,0.015,101.73
2021-01-25,CA135087K866,2020-01-27,2022-05-01,0.015,101.7
2021-01-26,CA135087K866,2020-01-27,2022-05-01,0.015,101.7
2021-01-27,CA135087K866,2020-01-27,2022-05-01,0.015,101.72
2021-01-28,CA135087K866,2020-01-27,2022-05-01,0.015,101.71
2021-01-29,CA135087K866,2020-01-27,2022-05-01,0.015,101.71
2021-01-18,CA135087J967,2019-04-05,2024-09-01,0.015,104.27
2021-01-19,CA135087J967,2019-04-05,2024-09-01,0.015,104.28
2021-01-20,CA135087J967,2019-04-05,2024-09-01,0.015,104.25
2021-01-21,CA135087J967,2019-04-05,2024-09-01,0.015,104.19
2021-01-22,CA135087J967,2019-04-05,2024-09-01,0.015,104.24
2021-01-25,CA135087J967,2019-04-05,2024-09-01,0.015,104.29
2021-01-26,CA135087J967,2019-04-05,2024-09-01,0.015,104.26
2021-01-27,CA135087J967,2019-04-05,2024-09-01,0.015,104.32
2021-01-28,CA135087J967,2019-04-05,2024-09-01,0.015,104.24
2021-01-29,CA135087J967,2019-04-05,2024-09-01,0.015,104.24
2021-01-18,CA135087H490,2017-10-06,2023-03-01,0.0175,103.29
2021-01-19,CA135087H490,2017-10-06,2023-03-01,0.0175,103.29
2021-01-20,CA135087H490,2017-10-06,2023-03-01,0.0175,103.25
2021-01-21,CA135087H490,2017-10-06,2023-03-01,0.0175,103.24
2021-01-22,CA135087H490,2017-10-06,2023-03-01,0.0175,103.25
2021-01-25,CA135087H490,2017-10-06,2023-03-01,0.0175,103.22
2021-01-26,CA135087H490,2017-10-06,2023-03-01,0.0175,103.22
2021-01-27,CA135087H490,2017-10-06,2023-03-01,0.0175,103.25
2021-01-28,CA135087H490,2017-10-06,2023-03-01,0.0175,103.26
2021-01-29,CA135087H490,2017-10-06,2023-03-01,0.0175,103.24
2021-01-18,CA135087K452,2019-08-09,2021-11-01,0.0125,100.904
2021-01-19,CA135087K452,2019-08-09,2021-11-01,0.0125,100.894
2021-01-20,CA135087K452,2019-08-09,2021-11-01,0.0125,100.874
2021-01-21,CA135087K452,2019-08-09,2021-11-01,0.0125,100.864
2021-01-22,CA135087K452,2019-08-09,2021-11-01,0.0125,100.863
2021-01-25,CA135087K452,2019-08-09,2021-11-01,0.0125,100.849
2021-01-26,CA135087K452,2019-08-09,2021-11-01,0.0125,100.849
2021-01-27,CA135087K452,2019-08-09,2021-11-01,0.0125,100.857
2021-01-28,CA135087K452,2019-08-09,2021-11-01,0.0125,100.848
2021-01-29,CA135087K452,2019-08-09,2021-11-01,0.0125,100.846
2021-01-18,CA135087L369,2020-08-17,2022-11-01,0.0025,100.17
2021-01-19,CA135087L369,2020-08-17,2022-11-01,0.0025,100.17
2021-01-20,CA135087L369,2020-08-17,2022-11-01,0.0025,100.13
2021-01-21,CA135087L369,2020-08-17,2022-11-01,0.0025,100.13
2021-01-22,CA135087L369,2020-08-17,2022-11-01,0.0025,100.14
2021-01-25,CA135087L369,2020-08-17,2022-11-01,0.0025,100.12
2021-01-26,CA135087L369,2020-08-17,2022-11-01,0.0025,100.12
2021-01-27,CA135087L369,2020-08-17,2022-11-01,0.0025,100.14
2021-01-28,CA135087L369,2020-08-17,2022-11-01,0.0025,100.14
2021-01-29,CA135087L369,2020-08-17,2022-11-01,0.0025,100.15
2021-01-18,CA135087J546,2018-10-05,2024-03-01,0.0225,106.21
2021-01-19,CA135087J546,2018-10-05,2024-03-01,0.0225,106.21
2021-01-20,CA135087J546,2018-10-05,2024-03-01,0.0225,106.17
2021-01-21,CA135087J546,2018-10-05,2024-03-01,0.0225,106.15
2021-01-22,CA135087J546,2018-10-05,2024-03-01,0.0225,106.17
2021-01-25,CA135087J546,2018-10-05,2024-03-01,0.0225,106.12
2021-01-26,CA135087J546,2018-10-05,2024-03-01,0.0225,106.18
2021-01-27,CA135087J546,2018-10-05,2024-03-01,0.0225,106.22
2021-01-28,CA135087J546,2018-10-05,2024-03-01,0.0225,106.19
2021-01-29,CA135087J546,2018-10-05,2024-03-01,0.0225,106.18
2021-01-18,CA135087K528,2019-10-11,2025-03-01,0.0125,103.6
2021-01-19,CA135087K528,2019-10-11,2025-03-01,0.0125,103.6
